#sclk0_0,sclk1_0,fast_slip_frac
781904522.130212,781904641.133117,0.234
781904641.133117,781904699.575164,0.274
781904699.575164,781904750.132752,0.25
781904750.132752,781904784.441003,0.25
781904784.441003,781904842.174576,0.251
781904842.174576,781904859.67889,0.251
781904859.67889,781904918.260578,0.18
781904918.260578,781904941.677146,0.181
781904941.677146,781904964.94145,0.139
781904964.94145,781905013.129806,0.152
781905013.129806,781905032.441505,0.152
781905032.441505,781905112.270709,0.171
781905112.270709,781905159.223846,0.138
781905159.223846,781905203.799928,0.13
781905203.799928,781905235.35596,0.13
781905235.35596,781905297.7874,0.132
781905297.7874,781905316.379847,0.157
781905316.379847,781905333.663638,0.157
781905333.663638,781905397.071069,0.162
781905397.071069,781905420.231376,0.232
781905420.231376,781905442.401405,0.276
781905442.401405,781905465.647014,0.293
781905465.647014,781905487.676378,0.553
781905487.676378,781905511.913691,0.377
781905511.913691,781905553.057769,0.301
781905553.057769,781905587.200502,0.21
781905587.200502,781905617.008678,0.244
781905617.008678,781905644.386404,0.236
781905644.386404,781905673.487517,0.27
781905673.487517,781905717.318303,0.204
781905717.318303,781905747.365055,0.204
781905747.365055,781905808.038063,0.197
781905808.038063,781905831.053895,0.15
781905831.053895,781905854.42976,0.123
781905854.42976,781905878.028581,0.138
781905878.028581,781905900.542814,0.133
781905900.542814,781905919.160937,0.123
781905919.160937,781905936.646608,0.123
781905936.646608,781905999.784955,0.255
781905999.784955,781906022.44447,0.279
781906022.44447,781906045.115963,0.283
781906045.115963,781906067.760802,0.332
781906067.760802,781906090.401165,0.344
781906090.401165,781906113.165063,0.349
781906113.165063,781906135.651424,0.291
781906135.651424,781906165.163985,0.225
781906165.163985,781906191.91084,0.202
781906191.91084,781906233.541664,0.208
781906233.541664,781906262.055523,0.171
781906262.055523,781906298.740063,0.316
781906298.740063,781906322.855367,0.297
781906322.855367,781906371.130503,0.374
781906371.130503,781906411.230031,0.386
781906411.230031,781906462.524174,0.433
781906462.524174,781906513.122366,0.525
781906513.122366,781906562.283846,0.499
781906562.283846,781906591.521476,0.499
781906591.521476,781906654.934341,0.406
781906654.934341,781906683.622194,0.406
781906683.622194,781906746.821094,0.449
781906746.821094,781906769.506916,0.38
781906769.506916,781906792.135587,0.511
781906792.135587,781906816.00772,0.515
781906816.00772,781906840.605884,0.49
781906840.605884,781906864.304288,0.508
781906864.304288,781906889.761615,0.557
781906889.761615,781906937.382363,0.384
781906937.382363,781906967.352695,0.537
781906967.352695,781906994.650919,0.346
781906994.650919,781907023.804939,0.502
NaN,NaN,NaN
781907023.804939,781907138.111841,0.452
