#sclk0_0,sclk1_0,fast_slip_frac
807023592.756103,807023672.036628,0.0
807023672.036628,807023726.071568,0.0
807023726.071568,807023743.747426,0.0
807023743.747426,807023800.434139,0.183
807023800.434139,807023823.105485,0.212
807023823.105485,807023845.763088,0.161
807023845.763088,807023868.489925,0.164
807023868.489925,807023891.073075,0.142
807023891.073075,807023913.66492,0.122
807023913.66492,807023936.307337,0.09
807023936.307337,807023965.882259,0.121
807023965.882259,807024008.800744,0.111
807024008.800744,807024052.161564,0.228
807024052.161564,807024073.255121,0.228
807024073.255121,807024147.122354,0.277
807024147.122354,807024194.005261,0.173
807024194.005261,807024227.176056,0.195
807024227.176056,807024259.363922,0.195
807024259.363922,807024299.054218,0.238
807024299.054218,807024317.027304,0.238
807024317.027304,807024373.883646,0.309
807024373.883646,807024396.551608,0.264
807024396.551608,807024419.165333,0.155
807024419.165333,807024441.807762,0.257
807024441.807762,807024464.573699,0.111
807024464.573699,807024487.100695,0.126
807024487.100695,807024509.756772,0.172
807024509.756772,807024538.445208,0.164
807024538.445208,807024581.308742,0.203
807024581.308742,807024619.523721,0.182
807024619.523721,807024667.055854,0.185
807024667.055854,807024686.352126,0.185
807024686.352126,807024766.067839,0.251
807024766.067839,807024813.122191,0.272
807024813.122191,807024858.067254,0.277
807024858.067254,807024888.163344,0.242
807024888.163344,807024917.288919,0.242
807024917.288919,807024971.933554,0.144
807024971.933554,807024992.554763,0.144
807024992.554763,807025049.448459,0.303
807025049.448459,807025072.057871,0.216
807025072.057871,807025094.729115,0.175
807025094.729115,807025117.383815,0.268
807025117.383815,807025140.036992,0.269
807025140.036992,807025162.660531,0.283
807025162.660531,807025189.131269,0.257
807025189.131269,807025220.160793,0.47
807025220.160793,807025263.020636,0.385
807025263.020636,807025301.184194,0.412
807025301.184194,807025344.038886,0.354
807025344.038886,807025380.57341,0.475
807025380.57341,807025410.049518,0.356
807025410.049518,807025429.349593,0.356
807025429.349593,807025506.049956,0.433
807025506.049956,807025553.049685,0.394
807025553.049685,807025600.992093,0.307
807025600.992093,807025640.022377,0.268
807025640.022377,807025669.273043,0.268
807025669.273043,807025719.161345,0.262
807025719.161345,807025736.852068,0.262
807025736.852068,807025793.729925,0.327
807025793.729925,807025816.183122,0.168
807025816.183122,807025838.852715,0.17
807025838.852715,807025861.511269,0.231
807025861.511269,807025884.146677,0.272
807025884.146677,807025906.784729,0.248
807025906.784729,807025930.930398,0.263
807025930.930398,807025978.494721,0.2
807025978.494721,807026008.286924,0.261
807026008.286924,807026037.147293,0.509
807026037.147293,807026073.664109,0.596
807026073.664109,807026229.146159,0.63
NaN,NaN,NaN
