#sclk0_0,sclk1_0,fast_slip_frac
781107734.604816,781109428.862321,0.148
781109428.862321,781109485.19389,0.148
781109485.19389,781109522.291411,0.511
781109522.291411,781109544.930629,0.617
781109544.930629,781109568.137092,0.602
781109568.137092,781109591.86642,0.577
781109591.86642,781109616.427975,0.629
781109616.427975,781109640.660569,0.593
781109640.660569,781109665.044292,0.579
781109665.044292,781109699.132105,0.584
781109699.132105,781109724.162666,0.539
781109724.162666,781109746.916822,0.552
781109746.916822,781109769.663184,0.521
781109769.663184,781109793.365915,0.46
781109793.365915,781109817.696139,0.431
781109817.696139,781109841.73171,0.539
781109841.73171,781109865.776336,0.594
781109865.776336,781109897.636691,0.581
781109897.636691,781109938.8874,0.588
781109938.8874,781109966.243415,0.506
781109966.243415,781110001.011105,0.504
781110001.011105,781110030.050001,0.504
781110030.050001,781110087.794226,0.448
781110087.794226,781110114.513077,0.448
781110114.513077,781110177.662458,0.601
781110177.662458,781110200.289915,0.673
781110200.289915,781110223.867902,0.679
781110223.867902,781110248.555837,0.626
781110248.555837,781110272.615459,0.624
781110272.615459,781110296.882655,0.622
781110296.882655,781110320.631567,0.62
781110320.631567,781110354.008171,0.638
781110354.008171,781110379.119798,0.649
781110379.119798,781110401.771155,0.708
781110401.771155,781110425.569098,0.679
781110425.569098,781110458.803393,0.698
781110458.803393,781110483.914364,0.744
781110483.914364,781110506.557986,0.679
781110506.557986,781110529.227216,0.691
781110529.227216,781110562.941261,0.754
781110562.941261,781110588.039452,0.717
781110588.039452,781110610.680496,0.693
781110610.680496,781110633.865464,0.732
781110633.865464,781110675.480411,0.663
781110675.480411,781110698.38398,0.738
781110698.38398,781110722.944428,0.63
781110722.944428,781110747.041401,0.71
781110747.041401,781110779.412576,0.684
781110779.412576,781110804.542466,0.684
781110804.542466,781110828.726687,0.697
781110828.726687,781110871.667166,0.757
781110871.667166,781110909.898483,0.738
781110909.898483,781110952.944324,0.736
781110952.944324,781110991.323897,0.676
781110991.323897,781111040.567725,0.713
781111040.567725,781111069.872253,0.713
781111069.872253,781111124.942591,0.615
781111124.942591,781111151.130152,0.615
781111151.130152,781111214.307932,0.631
781111214.307932,781111236.978753,0.74
781111236.978753,781111259.648634,0.75
781111259.648634,781111283.552629,0.733
781111283.552629,781111308.147756,0.814
781111308.147756,781111332.066972,0.801
781111332.066972,781111417.785402,0.807
NaN,NaN,NaN
