m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
781814981.000014, -195.134696, -260.907315, -86.288191, 0.151051, 0.102984, -0.701817, 0.688499, -0.172743, 0.156977, -0.248675, 0.226305, 107.106203, 107.243386, 107.918944, 107.533549, 108.141968, 105.954076, -0.022985, 0.015961, -0.031727, -0.050000, 0.319859, nan, -15.635327, 2.076900, -380.229980, 17.005672, 27.764141, -587.840942, 67.173485, 82.392921, -906.353394, -46.793575, 8.078608, -661.760193, 8.208908, 31.823881, -447.963654, -21.541059, 15.110080, -777.996582
781814982.000031, -195.134024, -260.927469, -86.298000, 0.152414, 0.104225, -0.703142, 0.686657, -0.172743, 0.156977, -0.248675, 0.226305, 107.273787, 107.412694, 108.034900, 107.648826, 108.312488, 106.063889, -0.014776, 0.014360, -0.036332, -0.050000, 0.504688, nan, -14.389418, -22.086536, -342.537537, -42.048359, 21.745132, -549.897583, 57.023876, 20.067318, -1019.909363, -14.787776, -72.869476, -596.014893, 7.670393, 45.331032, -420.430573, -11.351647, 9.124199, -823.915039
781814983.000047, -195.133435, -260.947428, -86.305174, 0.152993, 0.104022, -0.705030, 0.684620, -0.172743, 0.156977, -0.248675, 0.226305, 107.441084, 107.579829, 108.151359, 107.764828, 108.480527, 106.174068, -0.006766, 0.011763, -0.039604, -0.050000, 0.439576, nan, -4.993360, -8.713718, -350.640533, -35.799133, -90.755890, -539.922363, 5.835435, 72.642532, -1053.098389, 48.509941, -44.093185, -656.174805, 1.381528, 60.805157, -432.129242, -18.813801, 53.609444, -770.915771
781814984.000064, -195.132052, -260.963034, -86.309925, 0.153282, 0.104131, -0.706524, 0.682998, -0.172743, 0.156977, -0.248675, 0.226305, 107.608268, 107.746945, 108.268049, 107.880901, 108.648454, 106.284147, -0.000474, 0.013104, -0.041444, -0.050000, 0.573591, nan, -10.213977, -88.117523, -311.759399, -33.639778, -95.337685, -615.470337, 37.999676, 171.745758, -985.581848, 19.780006, -77.134178, -647.534302, 7.129663, 33.395290, -427.819000, -27.618795, 54.738297, -771.648071
781814985.000081, -195.130470, -260.981115, -86.316670, 0.154199, 0.105514, -0.707382, 0.681689, -0.172743, 0.156977, -0.248675, 0.226305, 107.775462, 107.914073, 108.384259, 107.997039, 108.816525, 106.394269, 0.007946, 0.013883, -0.047086, -0.050000, 0.593725, nan, -27.421301, -96.339264, -304.161072, -21.520658, -60.997101, -608.550659, 69.542320, 169.119644, -960.297363, -28.784069, -78.964447, -645.650391, -10.063523, -35.211704, -405.722076, 38.798927, 52.304646, -834.972412
781814986.000098, -195.129132, -260.997684, -86.322037, 0.153844, 0.105514, -0.708523, 0.680583, -0.172743, 0.156977, -0.248675, 0.226305, 107.942706, 108.081279, 108.500719, 108.113156, 108.984528, 106.504347, 0.015815, 0.018385, -0.050000, -0.050000, 0.422349, 0.458848, -4.347864, -36.081982, -387.587189, -9.994661, -47.250298, -543.368591, 59.149029, 128.245972, -918.682129, -44.534721, -104.304634, -620.696045, -4.619750, -21.170593, -421.893402, 36.356556, 46.572044, -872.886963
781814987.000115, -195.128274, -261.011825, -86.322747, 0.154811, 0.106591, -0.709664, 0.679006, -0.172743, 0.156977, -0.248675, 0.226305, 108.109930, 108.248268, 108.617041, 108.229163, 109.152583, 106.614394, 0.016098, 0.019678, -0.050000, -0.050000, 0.786947, nan, 12.659946, -45.188778, -436.092499, -24.905077, 13.629730, -553.028748, 7.616325, 55.592152, -993.866821, -73.405838, -109.746170, -500.438690, -8.821258, 61.392662, -512.537903, -17.170406, 51.652252, -844.487244
781814988.000132, -195.128850, -261.027189, -86.325126, 0.154436, 0.107291, -0.711216, 0.677355, -0.172743, 0.156977, -0.248675, 0.226305, 108.277116, 108.415450, 108.733430, 108.345280, 109.320517, 106.724585, 0.023271, 0.020544, -0.050000, -0.050000, 0.654496, nan, 2.223613, -53.031990, -518.067322, -26.097950, 0.185314, -520.279785, 95.069687, 99.020981, -873.760071, -23.935608, -55.091042, -514.770691, -29.223217, -15.589525, -484.287231, -1.636378, 35.045654, -890.877319
781814989.000149, -195.128182, -261.042589, -86.327357, 0.154188, 0.107585, -0.712397, 0.676123, -0.172743, 0.156977, -0.248675, 0.226305, 108.444302, 108.582445, 108.850099, 108.461269, 109.488560, 106.834679, 0.028106, 0.025368, -0.050000, -0.050000, 0.618122, nan, -24.614473, -58.158680, -455.149872, -24.562733, -22.789211, -548.647095, 44.447899, 111.672859, -881.998718, -18.466606, -54.706078, -531.158630, 8.757530, -33.637764, -482.446167, 21.782883, 52.799637, -884.350525
781814990.000166, -195.127646, -261.060371, -86.329981, 0.154329, 0.107461, -0.713625, 0.674814, -0.172743, 0.156977, -0.248675, 0.226305, 108.611503, 108.749654, 108.966328, 108.577436, 109.656540, 106.944823, 0.029039, 0.029175, -0.050000, -0.050000, 0.559029, nan, -30.939653, -77.198196, -448.463196, -24.520464, -8.683611, -561.245605, 128.299622, 127.264084, -872.240601, -33.335617, -64.834183, -548.481201, 17.788235, -71.903633, -477.773193, -11.193150, 74.103485, -872.467773
781814991.000183, -195.128140, -261.078916, -86.333242, 0.154662, 0.107300, -0.715172, 0.673124, -0.172743, 0.156977, -0.248675, 0.226305, 108.778739, 108.916740, 109.082705, 108.693431, 109.824619, 107.054887, 0.031068, 0.032048, -0.050000, -0.050000, 0.570268, nan, -25.789980, -87.583031, -430.368683, -30.145603, -1.580616, -541.444519, 107.751358, 131.559906, -887.657593, -32.932846, -66.813644, -562.686096, 19.205017, -84.053627, -460.991394, 25.986973, 94.858322, -916.507690
781814992.000200, -195.128551, -261.096448, -86.336687, 0.154632, 0.106382, -0.716547, 0.671813, -0.172743, 0.156977, -0.248675, 0.226305, 108.945888, 109.083877, 109.199007, 108.809492, 109.992625, 107.165029, 0.036437, 0.039225, -0.050000, -0.050000, 0.538948, 0.430848, -35.240974, -83.218140, -420.598846, -46.180244, -77.606270, -526.632141, 88.844849, 184.916901, -915.802979, -26.776031, -89.316582, -546.452332, 17.129093, -62.190887, -458.151489, 38.668209, 92.852600, -931.194641
781814993.000217, -195.128779, -261.113430, -86.343137, 0.152944, 0.105744, -0.718100, 0.670641, -0.172743, 0.156977, -0.248675, 0.226305, 109.112971, 109.250929, 109.315625, 108.925573, 110.160628, 107.275046, 0.044127, 0.047532, -0.050000, -0.050000, 0.451579, nan, -6.857876, -45.184101, -438.311218, -42.614941, -101.293488, -481.886871, 44.469456, 192.631760, -919.605652, -43.924450, -84.378777, -533.311401, 11.270496, -31.898323, -454.679352, 52.933296, 81.608253, -916.819458
781814994.000234, -195.128948, -261.130269, -86.349565, 0.151231, 0.105528, -0.719514, 0.669546, -0.172743, 0.156977, -0.248675, 0.226305, 109.280310, 109.418185, 109.432126, 109.041736, 110.328739, 107.385250, 0.050566, 0.056166, -0.050000, -0.050000, 0.555646, nan, -12.440396, -62.953072, -345.587402, -7.774926, -82.536255, -515.170837, 29.316793, 187.305420, -931.037781, -39.912842, -98.318130, -592.107239, 4.784501, -8.239599, -435.317566, 65.355011, 65.241013, -875.939331
781814995.000251, -195.128706, -261.143162, -86.352070, 0.149422, 0.104480, -0.720643, 0.668903, -0.172743, 0.156977, -0.248675, 0.226305, 109.447508, 109.585302, 109.548250, 109.157702, 110.496723, 107.495304, 0.056097, 0.067207, -0.048649, -0.050000, 0.435459, nan, -7.069889, -58.361053, -356.926208, 30.467255, -59.219963, -528.037354, 81.889526, 154.792953, -991.423401, -65.773438, -51.239792, -646.755737, -33.633743, -41.821869, -426.193298, -4.406510, 96.599373, -819.824097
781814996.000268, -195.128721, -261.159294, -86.357375, 0.148544, 0.103437, -0.722287, 0.667485, -0.172743, 0.156977, -0.248675, 0.226305, 109.614733, 109.752451, 109.664610, 109.273843, 110.664701, 107.605398, 0.065751, 0.076855, -0.047475, -0.050000, 0.561882, nan, -5.103110, -75.832001, -337.870514, 32.092442, -9.842834, -531.457886, 101.201096, 120.966309, -1051.460815, -67.656647, -67.730057, -660.355591, -27.046757, -47.669266, -421.110687, -67.703568, 88.375427, -832.612000
781814997.000284, -195.129030, -261.173839, -86.361488, 0.148632, 0.103920, -0.723711, 0.665847, -0.172743, 0.156977, -0.248675, 0.226305, 109.781874, 109.919450, 109.780965, 109.389835, 110.832708, 107.715502, 0.074269, 0.080467, -0.048577, -0.050000, 0.495309, 0.330608, 0.452823, -63.727016, -324.082489, 0.174757, -84.765625, -467.133911, 50.992599, 71.510727, -1187.236328, -28.674946, -63.540253, -644.997742, -4.281610, -44.694267, -425.351776, -51.044704, 102.171188, -838.291687
781814998.000301, -195.130029, -261.194200, -86.369580, 0.149804, 0.105016, -0.724936, 0.664077, -0.172743, 0.156977, -0.248675, 0.226305, 109.949159, 110.086646, 109.897605, 109.506118, 111.000708, 107.825624, 0.076180, 0.076431, -0.050000, -0.050000, 0.589110, nan, 20.608192, 1.902515, -348.996948, 4.956367, -120.274277, -424.855774, 11.357769, 100.403442, -1130.569824, 19.447567, 24.584099, -596.951294, -2.489674, -26.430721, -412.057678, -14.751003, 81.724007, -839.555115
781814999.000318, -195.130382, -261.212357, -86.375672, 0.150641, 0.105416, -0.726194, 0.662448, -0.172743, 0.156977, -0.248675, 0.226305, 110.116402, 110.253795, 110.013868, 109.622217, 111.168743, 107.935757, 0.079410, 0.074360, -0.050000, -0.050000, 0.485371, nan, 34.137100, 17.847584, -462.224487, -23.704041, -133.224945, -403.484955, 0.244061, 73.779503, -1056.666260, 1.200155, 6.735326, -574.036255, -15.801814, -48.915768, -413.735657, -2.277682, 62.569546, -928.893860
781815000.000335, -195.132027, -261.234624, -86.384084, 0.151989, 0.106123, -0.727493, 0.660599, -0.172743, 0.156977, -0.248675, 0.226305, 110.283601, 110.420913, 110.130426, 109.738312, 111.336804, 108.045810, 0.079777, 0.065150, -0.050000, -0.050000, 0.435933, nan, 26.257401, 12.946815, -516.209473, -21.672220, -123.152283, -427.556335, -42.613316, 42.220631, -1046.155273, 9.468206, -18.054857, -439.601135, -27.290628, -27.630161, -456.392273, 16.917343, 75.518906, -957.224487
