m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, -0.105621, 0.046723, 0.136717, -0.000865, 0.031346, 0.027187, 0.999138, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.008540, 0.009550, -0.050000, -0.050000, 0.751844, nan, 184.446732, -24.922276, -337.013428, 142.089478, -2.044845, -334.875214, 560.989319, -11.740599, -943.382324, 245.342346, 33.409241, -419.569336, 132.601120, 15.932673, -265.824738, 401.244110, 22.997639, -922.795654
1.000200, -0.087939, 0.048554, 0.135170, -0.000620, 0.030944, 0.027087, 0.999154, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.008924, 0.010749, -0.050000, -0.050000, 0.630001, nan, 110.390060, 23.408735, -294.774933, 90.609512, -3.657123, -270.394165, 590.459412, -15.061769, -1010.864807, 158.211624, 2.898172, -351.810333, 109.946625, 8.439731, -256.520813, 510.875061, 10.868746, -1007.531799
2.000100, -0.084708, 0.050029, 0.138260, -0.001024, 0.029050, 0.026634, 0.999223, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.014792, 0.017931, -0.050000, -0.050000, 0.815369, nan, 113.108086, -1.435986, -280.234497, 152.133041, 5.564569, -318.263214, 537.101746, 4.257167, -1124.502319, 243.337311, -15.662481, -592.832764, 141.760742, 2.498879, -276.283142, 605.663269, 33.511745, -1169.858765
3.000000, -0.073098, 0.052422, 0.135897, -0.001677, 0.028727, 0.026662, 0.999230, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.015883, 0.022150, -0.049999, -0.050000, 0.650885, nan, 73.927094, 16.045153, -198.118744, 110.684517, 5.575524, -250.892090, 644.353577, -55.857040, -1172.650391, 181.756317, 13.218432, -665.299011, 106.949951, -10.856621, -231.271637, 452.950195, -92.869705, -1082.586182
4.000200, -0.059935, 0.053747, 0.135424, -0.001507, 0.028687, 0.027013, 0.999222, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.019605, 0.024532, -0.050000, -0.050000, 0.651671, 0.112805, 120.442741, 7.221658, -350.631012, 135.607056, -1.585655, -313.491119, 661.690613, -8.354263, -1231.628052, 192.480499, -8.316888, -495.558716, 83.606812, 13.092980, -330.399231, 540.855530, -43.429985, -1207.713379
5.000100, -0.047713, 0.054351, 0.136204, -0.001864, 0.028252, 0.026419, 0.999250, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.018956, 0.023545, -0.049999, -0.050000, 0.841374, nan, 100.921288, 20.655279, -278.108734, 212.364120, 5.955540, -319.954681, 421.680908, -3.939968, -890.104797, 246.379333, 23.690569, -589.267090, 207.307922, 32.746078, -320.421326, 442.929871, 7.831944, -1000.735718
6.000000, -0.039238, 0.055728, 0.136736, -0.001234, 0.027846, 0.026681, 0.999255, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.021093, 0.024597, -0.050000, -0.050000, 0.843161, nan, 163.394882, -29.321068, -319.472900, 149.022400, 8.122081, -258.080505, 282.052704, 11.152182, -827.918274, 193.418518, -27.051636, -357.529938, 67.362137, -2.019131, -184.367981, 423.212036, 24.444000, -1093.187622
7.000200, -0.032257, 0.057826, 0.138834, -0.001412, 0.027805, 0.027111, 0.999245, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.018598, 0.025829, -0.050000, -0.050000, 0.679098, nan, 230.831787, -12.566370, -370.518341, 163.804413, -18.171227, -232.144928, 366.239655, 51.412300, -1150.538086, 95.946434, -20.068926, -232.628830, 102.732071, 2.883276, -200.465836, 711.359131, 26.022064, -1127.540527
8.000100, -0.021808, 0.059025, 0.139557, -0.001278, 0.027389, 0.027207, 0.999254, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.019405, 0.026346, -0.050000, -0.050000, 0.811956, 0.732048, 226.640839, 4.995537, -533.708557, 114.049606, 12.578915, -311.266541, 393.873444, 51.523418, -829.533997, 211.589493, -9.604065, -345.307373, 121.450813, 2.191498, -253.709793, 545.279907, -6.451125, -1202.062744
9.000000, -0.013857, 0.060049, 0.141302, -0.001176, 0.027637, 0.026784, 0.999258, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.017941, 0.023947, -0.050000, -0.050000, 0.861747, nan, 158.960449, 9.643002, -231.429581, 179.685745, 0.774635, -355.478333, 439.144470, -39.414799, -1007.599976, 153.598282, 1.592081, -256.749298, 230.007721, 9.636332, -413.917175, 386.957672, 2.651915, -1099.890259
10.000200, -0.009056, 0.060641, 0.143589, -0.001388, 0.028048, 0.025849, 0.999271, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.016890, 0.022242, -0.050000, -0.050000, 0.846260, nan, 132.135941, 28.703018, -186.836060, 205.563461, 12.572654, -265.339325, 576.275391, 1.361916, -1157.485107, 263.829468, 50.237465, -503.563782, 228.399689, 1.998190, -416.822144, 154.671783, -60.227604, -724.652405
11.000100, -0.010709, 0.060934, 0.149412, -0.001589, 0.028498, 0.025760, 0.999261, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.023390, 0.034605, -0.050000, -0.050000, 0.779457, nan, 266.517761, 15.791766, -373.046722, 181.132050, -19.050610, -272.636230, 470.138062, -13.819649, -1146.404297, 255.765213, 31.471302, -457.665955, 277.707520, -5.627096, -393.607635, 268.048340, -47.576057, -800.594116
12.000300, -0.010729, 0.061318, 0.154467, -0.001136, 0.028909, 0.025628, 0.999253, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.027984, 0.033922, -0.050000, -0.050000, 0.916033, 0.922260, 246.225418, 24.093597, -373.257996, 161.487396, 5.304254, -304.763763, 412.909973, 23.512289, -731.760742, 215.729187, 22.937372, -398.982422, 165.213501, -4.589226, -324.413879, 446.277161, -20.879019, -1008.599792
13.000200, -0.007023, 0.061778, 0.157314, -0.000942, 0.029376, 0.025106, 0.999253, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.028947, 0.033502, -0.050000, -0.050000, 0.867347, nan, 176.653564, -0.806564, -266.364838, 156.674606, -4.654537, -255.483093, 488.508362, 11.160853, -1408.890991, 222.496490, -9.241800, -382.112610, 165.465851, -5.352880, -292.113159, 374.798401, -53.367470, -759.969604
14.000100, -0.002108, 0.062459, 0.159762, -0.000788, 0.030031, 0.024738, 0.999242, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.028501, 0.032216, -0.050000, -0.050000, 0.869454, nan, 233.548279, 9.976654, -498.436462, 196.980270, 7.064777, -254.598495, 351.661102, -20.161972, -816.231567, 241.209244, 0.384214, -374.230286, 207.284698, -19.785934, -292.983185, 434.491150, 17.734043, -811.247986
15.000300, 0.005230, 0.063396, 0.159471, -0.000673, 0.030191, 0.024476, 0.999244, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.029149, 0.032226, -0.050000, -0.050000, 0.887909, nan, 276.999359, 9.853175, -404.200500, 171.881424, -2.479956, -235.426575, 463.769684, -2.816849, -833.266846, 246.026505, 12.070486, -428.120789, 177.063293, -9.288976, -283.715118, 422.429504, -31.849514, -1160.751465
16.000200, 0.009677, 0.063996, 0.161604, -0.000849, 0.030397, 0.024389, 0.999240, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.030674, 0.032113, -0.050000, -0.049998, 0.907938, 0.899132, 333.965149, -12.124760, -608.442017, 129.642303, 5.921771, -247.515030, 297.878326, -14.438643, -729.361328, 156.374802, 6.755369, -313.930847, 224.978409, -8.765043, -267.387970, 439.519409, 20.811762, -1339.416992
17.000100, 0.007865, 0.063998, 0.165190, -0.000985, 0.029935, 0.024013, 0.999263, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.031446, 0.033228, -0.050000, -0.050000, 0.826792, nan, 220.782654, 25.343533, -453.175293, 130.142151, 3.991530, -227.641205, 420.034790, 18.801476, -777.412354, 164.710388, -11.950693, -295.804688, 119.637024, -10.579165, -251.791855, 579.187012, 35.182747, -1288.399170
