m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, -0.033962, 0.055344, 0.128195, -0.000266, 0.028051, 0.031198, 0.999120, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.010795, 0.018518, -0.049080, -0.050000, 0.475869, nan, 122.493561, -12.911852, -215.044586, 94.462631, 13.813216, -607.705200, 369.143738, 2.915655, -1094.666870, 302.602448, 13.855297, -389.690613, 192.963562, -73.551735, -590.779480, 263.851532, 38.057613, -1296.299805
1.000200, -0.018041, 0.058023, 0.131271, -0.000952, 0.027742, 0.031406, 0.999121, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.009579, 0.019173, -0.050000, -0.050000, 0.542361, nan, 48.010269, 3.724227, -226.526062, 122.634789, -0.952140, -291.206299, 522.825806, 22.264959, -1320.823486, 45.620586, 15.263372, -239.131073, 125.961792, -3.936743, -333.435638, 548.828003, 16.393095, -944.313171
2.000100, -0.006004, 0.060045, 0.132390, -0.001355, 0.026016, 0.031911, 0.999151, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.010298, 0.023825, -0.050000, -0.050000, 0.614124, nan, 95.135773, -14.729927, -348.432983, 76.274437, 6.861058, -289.713013, 338.419983, -11.460248, -1108.078247, 219.398361, -17.020781, -611.275085, 169.174377, -8.544812, -382.083740, 360.989258, 28.152718, -803.171631
3.000000, 0.008400, 0.062120, 0.129777, -0.001960, 0.026496, 0.032132, 0.999130, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.011977, 0.028065, -0.050000, -0.050000, 0.687966, nan, 120.223831, -13.231549, -316.981567, 171.644577, 4.683673, -372.937836, 385.708710, 4.009020, -908.482300, 204.464630, -3.186016, -393.747772, 123.827644, -6.961725, -444.858887, 291.790894, -11.461300, -747.489746
4.000200, 0.020536, 0.064340, 0.130514, -0.001044, 0.025749, 0.032488, 0.999140, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.019647, 0.031617, -0.049987, -0.050000, 0.548711, 0.551466, 108.545822, -5.614027, -249.478485, 185.833191, -0.399483, -544.530334, 381.630554, 18.751945, -722.437744, 266.811676, 15.227362, -643.627197, 115.557335, -11.242400, -407.086792, 314.613892, 9.685323, -795.994141
5.000100, 0.036278, 0.066803, 0.131006, -0.001784, 0.024766, 0.032543, 0.999162, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.020783, 0.035338, -0.050000, -0.050000, 0.602198, nan, 82.459091, 9.747256, -265.254272, 163.228912, 10.937304, -487.424377, 321.026123, 83.933487, -937.776367, 151.857422, -6.717011, -667.457642, 133.036774, -23.301594, -337.128998, 424.394867, -9.214515, -1595.280029
6.000000, 0.052871, 0.069260, 0.131267, -0.002153, 0.024824, 0.032831, 0.999150, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.019080, 0.035423, -0.050000, -0.050000, 0.623121, nan, 161.431488, -0.868465, -536.089783, 150.511932, 8.910603, -418.230133, 414.110260, 60.476509, -1040.869629, 157.582825, 9.049824, -327.899994, 116.862244, -10.234695, -337.028839, 272.624451, -3.419669, -736.876282
7.000200, 0.065297, 0.070587, 0.132158, -0.002175, 0.024712, 0.032720, 0.999157, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.021162, 0.034962, -0.050000, -0.050000, 0.724760, nan, 199.926178, 19.149164, -434.111542, 115.494652, -2.034713, -355.390594, 306.445923, 23.508205, -742.757385, 195.339874, -0.970777, -530.244873, 152.206055, 35.766369, -441.475830, 328.319244, 4.940253, -998.124878
8.000100, 0.075275, 0.072587, 0.134801, -0.002101, 0.024615, 0.033157, 0.999145, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.019800, 0.033151, -0.050000, -0.050000, 0.742358, 0.620525, 94.757568, -8.086901, -180.571121, 172.746964, -22.889772, -347.627441, 361.031525, 2.334023, -782.727295, 226.881897, -22.582026, -941.658997, 189.163895, -0.528352, -524.041626, 251.839615, -9.129972, -1040.675903
9.000000, 0.088364, 0.074716, 0.135833, -0.002525, 0.025101, 0.033020, 0.999136, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.016537, 0.031331, -0.050000, -0.050000, 0.644936, nan, 131.142624, -12.972649, -446.221710, 107.793365, 3.936643, -445.276917, 275.743622, 23.257198, -636.983643, 194.086212, -28.985214, -635.060425, 154.975906, 5.934044, -320.676849, 352.373901, 29.834610, -982.801270
