m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, 0.127899, 0.052009, 0.120925, -0.001345, 0.024998, 0.023771, 0.999404, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000969, -0.000721, -0.049998, -0.050000, 0.233574, nan, 46.297096, 99.981964, -855.973511, -55.179905, 17.360088, -173.898132, -293.776855, -16.171949, -1130.429443, -23.537304, 74.144363, -991.331726, 64.564880, 2.616826, -666.724792, -22.228548, -5.359911, -631.878174
1.000200, 0.160871, 0.053709, 0.117938, -0.001703, 0.024694, 0.023497, 0.999417, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000897, 0.000024, -0.049036, -0.050000, 0.158946, nan, 45.736683, 59.490005, -610.354492, 4.059745, 35.849213, -608.326294, 103.820915, 50.655357, -518.050354, 92.909538, 17.854992, -718.409668, -156.288193, -31.206495, -317.969208, -215.895493, -38.402149, -758.735107
2.000100, 0.194972, 0.055208, 0.114689, -0.001942, 0.024688, 0.023404, 0.999419, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000869, -0.000071, -0.050000, -0.050000, 0.168024, nan, -51.500553, 27.164909, -773.442566, -75.442497, 1.325758, -754.138550, -11.799040, -17.793705, -847.234741, 19.264803, -28.086012, -823.988708, 19.299532, 20.991283, -760.682068, -33.116978, 44.012901, -803.444702
3.000000, 0.229793, 0.057118, 0.113759, -0.001551, 0.024794, 0.023710, 0.999410, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.004997, 0.001532, -0.049998, -0.050000, 0.238601, nan, 42.731430, 39.524094, -625.212646, -113.789307, 67.908699, -760.050415, -143.338303, 38.116653, -770.107788, 136.864166, 20.614677, -646.227112, -106.403275, 15.127383, -878.814453, -20.951509, 39.293522, -543.205261
4.000200, 0.263389, 0.059071, 0.111982, -0.001471, 0.024799, 0.023531, 0.999414, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.003976, 0.003472, -0.050000, -0.049997, 0.150222, -0.374092, 2.073740, -132.514282, -507.721436, 29.288307, -5.587653, -195.642166, 4.646742, -53.750267, -392.649658, -50.153469, -63.490955, -707.423340, -98.574356, -18.259916, -1726.902100, -88.225723, -41.674828, -679.167969
5.000100, 0.298206, 0.061358, 0.112337, -0.001305, 0.025300, 0.023206, 0.999410, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.004218, 0.002560, -0.050000, -0.049985, 0.159647, nan, -61.404873, -12.989417, -797.218262, 186.676453, 78.095253, -910.068848, 28.903152, 23.018749, -165.588608, -18.188166, 24.362911, -761.809998, 95.403069, -1.007559, -589.917603, -21.017391, 7.779200, -730.689453
6.000000, 0.333622, 0.063140, 0.111164, -0.001218, 0.025659, 0.022956, 0.999406, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.005841, 0.000413, -0.050000, -0.050000, 0.210840, nan, 10.243746, -5.743301, -488.410431, 35.316406, -14.512653, -450.813446, 46.668171, -37.545296, -473.505493, 9.809585, -7.073318, -418.662018, -123.789551, -43.264008, -709.603333, -155.722946, -59.634834, -797.636963
7.000200, 0.366516, 0.064388, 0.110383, -0.000992, 0.025721, 0.022762, 0.999410, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.005194, -0.000609, -0.050000, -0.050000, 0.244492, nan, -28.518152, -30.468121, -377.252472, 27.904001, -11.079809, -274.254578, 19.353163, -69.300964, -461.472382, 96.789619, -101.687798, -701.566406, -54.800255, -139.322845, -1281.812134, -64.827042, -24.560955, -607.964294
8.000100, 0.398663, 0.066425, 0.109668, -0.001050, 0.026024, 0.022452, 0.999409, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.004115, -0.002388, -0.050000, -0.050000, 0.251763, 0.149441, 9.566441, 52.289207, -497.410919, -13.898922, -1.910854, -516.481506, -125.465660, -34.499424, -713.166931, -108.175423, 36.779980, -1197.885498, -92.819862, 1.309695, -538.098206, -70.681534, -42.064777, -756.440002
9.000000, 0.431736, 0.067916, 0.107369, -0.001237, 0.026135, 0.022341, 0.999408, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000414, -0.003180, -0.049998, -0.050000, 0.204871, nan, -35.048931, 29.109072, -528.700317, -9.693556, 19.205242, -863.351562, 16.209713, 19.669870, -943.633911, 44.269604, 40.483692, -713.480225, -82.029442, -8.951227, -299.690979, -153.270172, -21.188820, -862.878845
10.000200, 0.466796, 0.069416, 0.108271, -0.001125, 0.026795, 0.022238, 0.999393, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000297, -0.007074, -0.050000, -0.049998, 0.168655, nan, -6.575637, 11.602513, -839.775146, 47.738144, -1.796365, -714.802917, 51.248344, 10.884249, -676.947205, -0.555744, 11.776965, -636.701355, -60.932518, 21.604584, -315.607300, -169.957947, 16.583504, -743.938049
