m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, 0.052138, 0.050029, 0.125295, -0.001404, 0.027639, 0.026850, 0.999256, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.013414, 0.013684, -0.047474, -0.050000, 0.522694, nan, 129.441483, 28.467566, -320.710571, 173.123672, 2.206179, -542.049683, 164.858536, -12.336281, -552.149170, 307.408813, 50.367104, -761.273621, 77.107941, -3.038305, -633.045959, -57.188168, -50.447735, -909.405334
1.000200, 0.078635, 0.051802, 0.125099, -0.002248, 0.029101, 0.026667, 0.999218, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.005871, 0.013381, -0.050000, -0.050000, 0.452034, nan, 84.751129, 6.787458, -347.378326, 149.603088, 14.279389, -552.892822, 51.594086, -8.965091, -841.971680, 201.814346, -16.879766, -711.069885, 67.262878, 20.334074, -691.344727, -2.095517, -52.390984, -716.319397
2.000100, 0.101514, 0.053738, 0.125680, -0.002064, 0.028678, 0.026682, 0.999230, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000391, 0.013233, -0.050000, -0.050000, 0.388384, nan, 70.973740, -34.840252, -555.087036, 82.046600, -10.630483, -594.168823, 73.695518, -10.069656, -807.882324, 172.350403, -87.904831, -549.522278, 93.086838, -26.662827, -490.645569, 45.580723, -15.357773, -942.916077
3.000000, 0.128775, 0.055612, 0.123766, -0.002093, 0.028290, 0.026913, 0.999235, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000993, 0.013446, -0.050000, -0.050000, 0.348643, nan, 100.498077, -9.048603, -387.526855, 210.790543, 51.121574, -789.376648, 32.739189, 42.737179, -851.859497, 109.412621, 40.469357, -290.882172, 6.084987, 36.020794, -501.655273, -58.292244, -1.826237, -959.760010
4.000200, 0.156444, 0.057580, 0.121502, -0.002220, 0.028478, 0.026895, 0.999230, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000733, 0.010837, -0.050000, -0.050000, 0.318589, 0.324583, 82.009148, 13.663481, -200.696320, 95.866730, 13.865149, -655.577026, 128.743378, 32.166702, -892.976501, 198.973206, 32.714123, -475.722260, 4.483814, -14.821136, -201.136658, 185.766022, 45.297890, -758.007568
5.000100, 0.185893, 0.058911, 0.120077, -0.002293, 0.029403, 0.026991, 0.999201, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.001422, 0.010784, -0.050000, -0.050000, 0.381017, nan, 87.911331, 15.875188, -362.941742, 149.212173, 43.304222, -699.723938, 149.997986, 31.378117, -872.621399, 248.292236, -11.473454, -570.115784, 109.193497, -19.368145, -421.762939, 71.243362, -7.013448, -223.992676
6.000000, 0.210528, 0.060525, 0.119497, -0.001662, 0.029179, 0.026794, 0.999214, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000095, 0.011432, -0.050000, -0.050000, 0.425605, nan, 246.055023, 37.804649, -680.856384, 156.810043, 13.352171, -436.422058, 35.828964, 1.191743, -358.126099, 99.067223, 13.868660, -422.217743, 84.137550, 2.467109, -560.702759, 137.256104, -13.147291, -1028.199341
7.000200, 0.233159, 0.062282, 0.119533, -0.002065, 0.029062, 0.026395, 0.999227, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.000261, 0.014040, -0.050000, -0.050000, 0.446860, nan, 148.100403, 21.765715, -341.611969, 181.428131, 18.091827, -478.592560, 29.645533, -1.334371, -427.835632, 144.005325, 6.901279, -441.593201, 6.261330, -7.646338, -587.574036, 127.535461, 59.622528, -941.746582
8.000100, 0.256065, 0.063975, 0.121138, -0.002404, 0.030083, 0.026273, 0.999199, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.002464, 0.015107, -0.049933, -0.050000, 0.540382, 0.377777, 140.041672, 3.034733, -292.443665, 202.105545, -1.273081, -537.582458, 115.297821, 3.820399, -756.893494, 185.077881, 20.289125, -512.695557, 98.079025, 4.084134, -576.880371, 111.565582, -1.353723, -575.096924
9.000000, 0.280418, 0.065918, 0.121740, -0.002711, 0.031348, 0.026207, 0.999161, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.005434, 0.012363, -0.049844, -0.050000, 0.402691, nan, 59.920513, -7.596200, -140.446136, 143.423996, 23.427107, -582.153564, 57.958176, -12.220095, -327.168396, 240.402206, -18.338137, -709.982056, 166.288528, 13.171815, -714.643677, 148.145782, 41.179344, -745.521362
