m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, 0.024889, 0.047745, 0.122742, -0.003486, 0.026491, 0.024624, 0.999340, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.010263, -0.001109, -0.043402, -0.050000, 0.319707, nan, 27.471441, 51.022930, -360.232361, 222.825760, -55.084114, -575.833313, 481.090485, -90.436775, -848.499695, 362.491638, 154.707611, -807.267761, -106.005363, 11.922382, -316.457336, -182.083878, -64.266830, -1209.817871
1.000200, 0.049400, 0.049544, 0.123899, -0.003522, 0.029375, 0.025186, 0.999245, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.007053, 0.006020, -0.048910, -0.050000, 0.705465, nan, 130.565277, -46.057598, -239.864532, 153.488556, -15.778925, -612.586121, 73.814606, 4.956557, -1034.862427, 285.637451, -55.544449, -492.267090, 176.247772, -32.989159, -531.383728, 151.070908, 11.819811, -794.745605
2.000100, 0.067911, 0.051489, 0.127114, -0.002982, 0.029450, 0.025863, 0.999227, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.003986, 0.008653, -0.049967, -0.050000, 0.514411, nan, 77.958160, -27.737143, -203.277969, 213.344696, -42.001987, -459.789459, 85.797775, -58.253151, -723.283264, 147.509308, -36.432022, -524.665405, 137.980988, -20.354797, -758.483765, 89.039551, -82.667122, -1622.057495
3.000000, 0.086935, 0.053128, 0.125620, -0.002885, 0.028712, 0.025856, 0.999249, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000391, 0.014848, -0.049988, -0.050000, 0.434926, nan, 130.337311, 19.618546, -413.834656, 116.464821, 27.722918, -570.992188, 217.892212, 55.457703, -1121.615601, 337.323853, -13.301685, -566.712646, 100.000954, -1.586892, -311.907562, 156.422714, 43.991371, -405.231720
4.000200, 0.108224, 0.054656, 0.123919, -0.002999, 0.028562, 0.026061, 0.999248, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.003718, 0.018555, -0.050000, -0.049873, 0.532249, 0.602588, 100.419823, -12.348980, -861.339600, 96.570541, -4.397668, -325.956482, 175.620804, -54.556229, -917.260010, 169.098328, -17.042156, -312.337280, 264.422821, -17.924168, -893.885620, 104.274467, -48.662315, -1306.005859
5.000100, 0.131250, 0.056142, 0.124734, -0.003326, 0.029447, 0.025954, 0.999224, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.000930, 0.018113, -0.050000, -0.049999, 0.519436, nan, 218.942291, 43.198547, -770.792908, 188.611816, 36.365608, -679.351440, 180.209839, 17.304672, -366.080444, 111.470184, 19.743031, -395.072906, 216.870682, -4.749936, -454.094238, 181.630951, -0.583081, -1196.975342
6.000000, 0.152475, 0.057051, 0.124074, -0.003176, 0.029646, 0.025385, 0.999233, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.002243, 0.016348, -0.050000, -0.050000, 0.470141, nan, 164.374832, 12.949285, -452.572235, 165.835022, 4.838755, -443.085022, 107.984039, -41.927925, -747.630737, 179.266205, 40.225178, -501.186737, 135.372726, -13.846501, -586.203918, 278.552765, -12.818900, -836.129517
7.000200, 0.171925, 0.058262, 0.123075, -0.002643, 0.029578, 0.025350, 0.999237, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.006587, 0.018170, -0.049999, -0.050000, 0.535607, nan, 121.975792, 11.441975, -236.165619, 152.901413, 4.305482, -712.497192, 235.496674, -5.106333, -426.511353, 215.318451, 4.041714, -647.778809, 64.708054, 10.754405, -435.632996, 347.250000, -27.434687, -904.683777
8.000100, 0.191615, 0.059894, 0.124150, -0.003301, 0.030573, 0.025396, 0.999204, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.002548, 0.018406, -0.049942, -0.050000, 0.597403, 0.487046, 123.628792, -7.669415, -524.461914, 105.473160, -21.308908, -700.353943, 230.676346, 31.765251, -425.370117, 87.313583, 26.344275, -739.977356, 50.446003, -7.608084, -276.297577, 236.511658, 59.004898, -512.066589
9.000000, 0.210175, 0.060931, 0.126796, -0.003848, 0.030937, 0.025559, 0.999187, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.003372, 0.015330, -0.050000, -0.049991, 0.542237, nan, 107.452881, -45.491806, -526.543762, 103.146179, -25.872015, -234.488495, 156.629272, -52.055649, -397.623474, 83.627792, -60.987106, -634.371277, 179.315369, -111.315842, -756.453064, 262.744537, -175.245804, -1343.077637
