m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, 0.093356, 0.050903, 0.119883, -0.001913, 0.025693, 0.026136, 0.999326, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.009437, -0.001450, -0.049674, -0.050000, 0.187717, nan, 39.905785, 74.378883, -701.903198, -41.687641, 16.912378, -707.698547, -200.169357, 84.670479, -1153.351318, 31.314854, 7.597635, -312.645874, -123.172577, 12.404197, -419.556244, 236.857056, 115.695679, -696.104065
1.000200, 0.125787, 0.052799, 0.116658, -0.002517, 0.025179, 0.026266, 0.999335, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.008466, -0.000815, -0.049929, -0.050000, 0.281655, nan, 50.082245, 38.715157, -264.815582, 118.614456, 13.518266, -794.192993, 35.227234, 15.384780, -701.124390, 86.916290, 62.544453, -637.998413, -116.377510, -26.857742, -645.572083, 63.109539, 13.026225, -232.572479
2.000100, 0.155833, 0.054754, 0.115505, -0.003126, 0.025587, 0.025938, 0.999331, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.006432, 0.000220, -0.050000, -0.050000, 0.241231, nan, 40.168125, 50.559105, -885.054504, -47.081455, 10.251285, -308.024750, -73.521065, 27.084755, -661.563904, 117.812157, -1.614812, -618.340576, -26.425823, 41.487476, -595.289978, 168.395462, 30.811014, -487.349762
3.000000, 0.188441, 0.056488, 0.114417, -0.002699, 0.026410, 0.026016, 0.999309, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.009045, -0.000352, -0.049742, -0.050000, 0.274328, nan, 36.485798, 23.683828, -341.034210, 81.460297, 27.673662, -567.557983, 116.394882, 31.302471, -917.927734, 126.207397, 8.865742, -786.701294, -63.201012, -23.892275, -589.679871, 101.252396, 20.358530, -369.294556
4.000200, 0.217599, 0.057947, 0.113087, -0.002357, 0.026096, 0.026181, 0.999314, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.012930, 0.001917, -0.049418, -0.050000, 0.296560, -0.068517, 46.694351, -14.680709, -465.249512, -55.420685, -10.227498, -792.798584, 33.557968, -31.488873, -1053.468994, 191.023621, -38.846519, -643.861877, -29.407616, 10.120914, -411.696228, 131.301514, -6.351729, -327.093353
5.000100, 0.248494, 0.060356, 0.113863, -0.002511, 0.026473, 0.026236, 0.999302, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.017201, 0.002221, -0.049597, -0.050000, 0.275837, nan, 25.384785, 17.606758, -204.161148, -55.996151, -45.372940, -331.072144, -257.093933, 23.977409, -1176.937500, 120.402855, 41.560280, -847.041870, -17.487724, 23.363594, -419.920349, 226.711182, 26.992111, -849.101257
6.000000, 0.277971, 0.062040, 0.113212, -0.002400, 0.025622, 0.025902, 0.999333, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.013582, 0.002540, -0.050000, -0.050000, 0.274182, nan, 49.159798, 44.341087, -462.086792, 110.850388, 39.030495, -442.004547, 118.662125, -71.691536, -705.477905, 33.535980, 15.612221, -508.760559, -98.294830, -7.786307, -615.503235, 133.636307, -56.169579, -897.665039
7.000200, 0.308318, 0.063541, 0.112199, -0.002033, 0.025833, 0.025517, 0.999338, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.012905, -0.000488, -0.049994, -0.050000, 0.311904, nan, 66.016922, 5.791203, -275.321930, 12.388689, -16.062473, -492.967407, -65.957672, -29.901411, -871.953674, 62.795509, 1.383628, -537.734741, -12.060844, 51.853855, -593.393555, 157.886032, -21.242205, -284.840637
8.000100, 0.337928, 0.064822, 0.110907, -0.002014, 0.026226, 0.025553, 0.999327, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.014297, -0.000174, -0.049902, -0.050000, 0.283688, 0.241828, 68.241562, 19.910561, -244.368134, 101.109200, 90.312843, -922.947510, -14.924234, -6.301614, -1259.086670, 135.394516, 40.551743, -582.341431, -123.455978, 58.287277, -582.303040, 194.239258, 36.328636, -571.317688
9.000000, 0.370010, 0.066669, 0.111210, -0.002401, 0.027256, 0.025677, 0.999296, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, -0.022140, 0.000002, -0.050000, -0.050000, 0.234135, nan, 68.398148, 7.534203, -653.877441, -55.825321, 26.779852, -428.836151, -105.655884, 30.823517, -886.301697, 58.476597, -8.534023, -654.126709, 65.639099, 42.019470, -547.836975, 147.278854, 34.556305, -641.762268
