SCLK,SCLK_REL,ROVER_X [METERS],ROVER_Y [METERS],ROVER_Z [METERS],QUAT_X,QUAT_Y,QUAT_Z,QUAT_C,LF_DRIVE,LM_DRIVE,LR_DRIVE,RF_DRIVE,RM_DRIVE,RR_DRIVE,LF_STEER [RADIANS],LR_STEER [RADIANS],RF_STEER [RADIANS],RR_STEER [RADIANS],SLIP
781813296.489466,0.0,-203.396333,-248.431205,-83.597819,0.086541,0.082251,-0.911466,0.393669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0671448209302112e-12,5.335724104644795e-13,1.6007173225064888e-12,-0.0,0.0
781813323.300703,26.8112370967865,-203.396332,-248.431198,-83.597816,0.086928,0.081842,-0.911125,0.394457,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.07779982633830125
781813323.425694,26.936228036880493,-203.396332,-248.431198,-83.597816,0.086933,0.081842,-0.911125,0.394456,4.418134632170984e-05,5.890845840932299e-05,-1.4727114602317787e-05,2.209067316085492e-05,-0.0,-0.0,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.07842414128209016
781813323.550713,27.06124699115753,-203.396332,-248.431198,-83.597816,0.086928,0.081842,-0.911126,0.394454,0.0002998835854139065,0.0003703646887373423,-9.996118944829267e-05,0.0001425717729259927,8.844022730379569e-05,0.0001326603409557022,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.07904859615340583
781813323.675775,27.186309099197388,-203.396332,-248.431198,-83.597816,0.086922,0.081834,-0.91113,0.394449,0.00037089432346281554,0.0003782855123981613,-0.00026652777611102643,0.00034609432193453217,0.0006443683645534209,0.0009000318464121733,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.0796732665726563
781813323.800756,27.31129002571106,-203.396332,-248.431198,-83.597816,0.086926,0.081838,-0.911127,0.394454,-0.0005271993905602566,-0.0005436663182624903,-0.0014259252018394115,0.0012311227191427964,0.0015737048644450004,0.0018293683742392588,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08029753149979736
781813323.925782,27.43631601333618,-203.396332,-248.431198,-83.597816,0.086906,0.081845,-0.9111,0.39452,-0.002380737333241045,-0.0021318888413979463,-0.005992319919644492,0.0032420931408536024,0.0032784823980304967,0.003534145811584914,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08092202150185379
781813324.050754,27.561287999153137,-203.396332,-248.431198,-83.597816,0.086926,0.081854,-0.911041,0.39465,-0.007274258421851561,-0.0038868496337667955,-0.01230012988729889,0.00828746699956772,0.004994830223200315,0.005214993696408573,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08154624177127355
781813324.175739,27.686273097991943,-203.396332,-248.431198,-83.597816,0.086888,0.081886,-0.910907,0.394961,-0.013342516835951527,-0.010006940881150464,-0.014254278304774956,0.013678412280414682,0.007589361330070963,0.007511519068580589,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08217052753868455
781813324.300725,27.811259031295776,-203.396332,-248.431198,-83.597816,0.086909,0.081911,-0.910797,0.395205,-0.019491683588787653,-0.019711232437202773,-0.0174824907021768,0.019068048962155887,0.014740583903256103,0.014705347263354186,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08279481747414955
781813324.425727,27.9362610578537,-203.396332,-248.431198,-83.597816,0.08692,0.081973,-0.910587,0.395672,-0.03107946423764217,-0.03394010975370056,-0.025912939115062917,0.030012561467341135,0.027288761362370836,0.02743625777122808,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08341918779351289
781813324.550726,28.061260104179382,-203.396332,-248.431198,-83.597816,0.086977,0.082015,-0.910086,0.396802,-0.04764580474635944,-0.049578073019397005,-0.03976860850882247,0.0463158644273207,0.0433216927686288,0.044867106480829394,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08404354322696911
781813324.675732,28.18626606464386,-203.396332,-248.431198,-83.597816,0.087106,0.082141,-0.909579,0.397909,-0.06780815524058419,-0.06522427523847789,-0.05771595836810659,0.06621680743580781,0.058988380130998,0.06459838975106884,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08466793319572982
781813324.800772,28.31130599975586,-203.396332,-248.431198,-83.597816,0.087149,0.082221,-0.909006,0.399191,-0.08882188158994347,-0.08090997801031818,-0.07755098613599641,0.08716006813288849,0.07459622286674512,0.08455390411891267,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08529249286383146
781813324.925784,28.436318039894104,-203.396332,-248.431198,-83.597816,0.087201,0.082278,-0.908367,0.400618,-0.10982352232917943,-0.09657739325103874,-0.09745943556941936,0.108161712444712,0.09023581236374408,0.1045327919778174,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08591691319984265
781813325.050751,28.5612850189209,-203.396332,-248.431198,-83.597816,0.087343,0.082401,-0.907765,0.401925,-0.13079716122445004,-0.1121761283468529,-0.11738853938008728,0.129127957456248,0.10586238035520519,0.12446927249012417,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08654110846093849
781813325.175793,28.68632709980011,-203.395538,-248.431229,-83.598755,0.087481,0.082509,-0.907123,0.403321,-0.15183907182955633,-0.1278194699210644,-0.1373091749575792,0.15013464720988162,0.12147049621174229,0.14442513766562112,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08716567884689326
781813325.300686,28.811220049858093,-203.395538,-248.431229,-83.598755,0.087524,0.082591,-0.906479,0.404739,-0.17279287890792713,-0.1434441606933774,-0.1572690505525997,0.17108845428825245,0.1370951931411923,0.1643850255749157,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08778950434205672
781813325.425657,28.936191082000732,-203.395538,-248.431229,-83.598755,0.087656,0.082715,-0.905837,0.40612,-0.19380237910660014,-0.15907126777526057,-0.1772061789543357,0.1920832528105336,0.15272964977593514,0.18432215140597913,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08841371984798621
781813325.550627,29.061161041259766,-203.395538,-248.431229,-83.598755,0.087807,0.08284,-0.905167,0.407554,-0.2148322701930709,-0.17467032756044878,-0.19714314595449878,0.21304996771401363,0.16835662311372343,0.2042664479571385,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08903792999498913
781813325.67564,29.186174035072327,-203.395538,-248.431229,-83.598755,0.087877,0.082923,-0.904508,0.408981,-0.23581353848749126,-0.19031003636655433,-0.21708696609766776,0.234059167705027,0.18396106881436933,0.22424554353983694,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.08966235509449061
781813325.800673,29.311207056045532,-203.395538,-248.431229,-83.598755,0.087998,0.083017,-0.903854,0.410381,-0.2568540078454191,-0.20595225066389836,-0.23703398382600935,0.25507173081058454,0.19960328311171335,0.24419256126817857,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09028688022728779
